"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2022-03-21T18:34:45.719Z[Etc/UTC]","0.0","10.37"
"Search by keyword","Try to search without term","SUCCESS","2022-03-21T18:34:56.306Z[Etc/UTC]","0.0","2.0"
